Date,Close
2019-04-08,1481.38
2019-04-09,1464.52
2019-04-10,1477.16
2019-04-11,1476.07
2019-04-12,1497.12
2019-04-15,1485.82
2019-04-16,1533.22
2019-04-17,1557.08
2019-04-18,1558.13
2019-04-22,1558.29
2019-04-23,1574.05
2019-04-24,1589.02
2019-04-25,1560.32
2019-04-26,1547.40
2019-04-29,1544.44
2019-04-30,1556.18
2019-05-01,1543.48
2019-05-02,1560.61
2019-05-03,1570.70
2019-05-06,1543.73
2019-05-07,1506.32
2019-05-08,1494.48
2019-05-09,1476.80
2019-05-10,1478.87
2019-05-13,1408.95
2019-05-14,1442.83
2019-05-15,1454.50
2019-05-16,1430.11
2019-05-17,1402.01
2019-05-20,1345.58
2019-05-21,1374.21
2019-05-22,1345.04
2019-05-23,1322.84
2019-05-24,1311.97
2019-05-28,1300.30
2019-05-29,1305.57
2019-05-30,1315.29
2019-05-31,1296.18
2019-06-03,1300.52
2019-06-04,1355.26
2019-06-05,1345.10
2019-06-06,1363.13
2019-06-07,1378.81
2019-06-10,1413.89
2019-06-11,1418.02
2019-06-12,1384.95
2019-06-13,1392.94
2019-06-14,1356.55
2019-06-17,1347.86
2019-06-18,1406.16
2019-06-19,1407.30
2019-06-20,1421.03
2019-06-21,1410.50
2019-06-24,1412.08
2019-06-25,1391.12
2019-06-26,1435.83
2019-06-27,1456.90
2019-06-28,1458.96
2019-07-01,1497.55
2019-07-02,1476.83
2019-07-03,1470.49
2019-07-05,1461.70
2019-07-08,1450.41
2019-07-09,1461.21
2019-07-10,1471.51
2019-07-11,1476.28
2019-07-12,1504.28
2019-07-15,1515.92
2019-07-16,1499.64
2019-07-17,1503.87
2019-07-18,1526.97
2019-07-19,1523.91
2019-07-22,1554.09
2019-07-23,1573.27
2019-07-24,1622.02
2019-07-25,1594.12
2019-07-26,1593.86
2019-07-29,1598.02
2019-07-30,1593.82
2019-07-31,1542.44
2019-08-01,1511.98
2019-08-02,1488.43
2019-08-05,1423.52
2019-08-06,1441.77
2019-08-07,1452.12
2019-08-08,1491.26
2019-08-09,1464.34
2019-08-12,1446.98
2019-08-13,1489.66
2019-08-14,1442.54
2019-08-15,1439.29
2019-08-16,1479.25
2019-08-19,1506.99
2019-08-20,1498.90
2019-08-21,1512.72
2019-08-22,1512.25
2019-08-23,1446.38
2019-08-26,1458.88
2019-08-27,1454.12
2019-08-28,1462.85
2019-08-29,1495.82
2019-08-30,1504.92
2019-09-03,1478.32
2019-09-04,1519.55
2019-09-05,1566.21
2019-09-06,1568.34
2019-09-09,1576.39
2019-09-10,1583.15
2019-09-11,1606.19
2019-09-12,1610.79
2019-09-13,1605.65
2019-09-16,1594.49
2019-09-17,1599.74
2019-09-18,1600.95
2019-09-19,1592.07
2019-09-20,1563.00
2019-09-23,1578.09
2019-09-24,1551.99
2019-09-25,1579.56
2019-09-26,1580.10
2019-09-27,1542.87
2019-09-30,1558.75
2019-10-01,1544.20
2019-10-02,1519.77
2019-10-03,1545.76
2019-10-04,1574.39
2019-10-07,1563.17
2019-10-08,1514.45
2019-10-09,1540.85
2019-10-10,1555.79
2019-10-11,1591.13
2019-10-14,1590.40
2019-10-15,1625.69
2019-10-16,1601.79
2019-10-17,1607.16
2019-10-18,1590.09
2019-10-21,1620.04
2019-10-22,1607.60
2019-10-23,1576.58
2019-10-24,1615.51
2019-10-25,1648.67
2019-10-28,1677.57
2019-10-29,1662.46
2019-10-30,1661.46
2019-10-31,1651.22
2019-11-01,1689.93
2019-11-04,1726.92
2019-11-05,1730.15
2019-11-06,1715.67
2019-11-07,1727.68
2019-11-08,1736.78
2019-11-11,1727.59
2019-11-12,1732.42
2019-11-13,1732.86
2019-11-14,1727.59
2019-11-15,1742.93
2019-11-18,1738.78
2019-11-19,1730.50
2019-11-20,1710.14
2019-11-21,1690.83
2019-11-22,1690.79
2019-11-25,1731.95
2019-11-26,1723.26
2019-11-27,1735.91
2019-11-29,1716.84
2019-12-02,1691.75
2019-12-03,1665.71
2019-12-04,1691.45
2019-12-05,1697.66
2019-12-06,1724.21
2019-12-09,1714.98
2019-12-10,1720.90
2019-12-11,1759.20
2019-12-12,1806.87
2019-12-13,1796.04
2019-12-16,1813.31
2019-12-17,1821.92
2019-12-18,1820.29
2019-12-19,1834.97
2019-12-20,1853.87
2019-12-23,1857.12
2019-12-24,1862.20
2019-12-26,1864.49
2019-12-27,1858.59
2019-12-30,1844.39
2019-12-31,1849.62
2020-01-02,1887.91
2020-01-03,1853.98
2020-01-06,1834.68
2020-01-07,1867.28
2020-01-08,1867.59
2020-01-09,1878.73
2020-01-10,1866.35
2020-01-13,1890.79
2020-01-14,1894.64
2020-01-15,1872.16
2020-01-16,1903.93
2020-01-17,1916.62
2020-01-21,1915.00
2020-01-22,1930.23
2020-01-23,1945.37
2020-01-24,1924.03
2020-01-27,1848.86
2020-01-28,1893.27
2020-01-29,1858.70
2020-01-30,1855.80
2020-01-31,1789.93
2020-02-03,1812.18
2020-02-04,1868.65
2020-02-05,1909.52
2020-02-06,1909.64
2020-02-07,1864.36
2020-02-10,1892.80
2020-02-11,1931.08
2020-02-12,1958.82
2020-02-13,1960.34
2020-02-14,1956.56
2020-02-18,1929.12
2020-02-19,1979.50
2020-02-20,1949.25
2020-02-21,1891.05
2020-02-24,1801.23
2020-02-25,1746.11
2020-02-26,1749.95
2020-02-27,1668.65
2020-02-28,1705.54
2020-03-02,1765.38
2020-03-03,1705.26
2020-03-04,1789.57
2020-03-05,1734.03
2020-03-06,1699.89
2020-03-09,1558.16
2020-03-10,1656.50
2020-03-11,1562.54
2020-03-12,1392.11
2020-03-13,1544.26
2020-03-16,1298.78
2020-03-17,1426.52
2020-03-18,1286.84
2020-03-19,1341.22
2020-03-20,1298.54
2020-03-23,1342.12
2020-03-24,1491.83
2020-03-25,1472.57
2020-03-26,1572.61
2020-03-27,1488.75
2020-03-30,1545.31
2020-03-31,1510.59
2020-04-01,1427.73
2020-04-02,1474.61
2020-04-03,1443.04
2020-04-06,1592.88
2020-04-07,1585.38
2020-04-08,1639.89
2020-04-09,1601.73
2020-04-13,1623.68
2020-04-14,1695.76
2020-04-15,1647.91
2020-04-16,1690.87
2020-04-17,1705.64
2020-04-20,1667.57
2020-04-21,1588.70
2020-04-22,1682.12
2020-04-23,1664.67
2020-04-24,1702.56
2020-04-27,1725.04
2020-04-28,1713.21
2020-04-29,1797.76
2020-04-30,1731.24
2020-05-01,1644.40
2020-05-04,1661.30
2020-05-05,1689.50
2020-05-06,1707.75
2020-05-07,1724.93
2020-05-08,1775.61
2020-05-11,1774.31
2020-05-12,1725.24
2020-05-13,1691.57
2020-05-14,1739.05
2020-05-15,1700.89
2020-05-18,1782.54
2020-05-19,1775.61
2020-05-20,1840.79
